,turns,winner
0,13,White
1,16,Black
2,61,White
3,61,White
4,95,White
6,33,White
7,9,Black
8,66,Black
9,119,White
10,39,White
11,38,Black
12,60,Black
13,31,Black
14,31,White
15,43,Black
16,52,Black
17,66,Black
18,101,Black
19,25,White
20,14,Black
21,3,White
22,17,White
23,36,White
24,13,Black
25,69,White
26,43,White
27,54,Black
28,53,Black
29,66,Black
30,64,Black
31,64,Black
32,54,White
33,21,Black
34,11,White
35,19,Black
36,28,White
37,22,Black
38,37,White
39,34,White
41,71,Black
42,30,White
43,66,White
44,41,White
45,49,White
46,3,Black
47,7,White
48,35,White
49,41,White
50,5,Black
51,7,White
52,53,White
53,36,Black
54,8,White
55,3,White
56,28,White
57,30,Black
58,44,Black
59,29,White
60,37,Black
61,49,White
62,32,Black
63,25,White
64,40,Black
65,39,White
66,57,White
67,78,Black
68,61,White
69,44,Black
70,62,Black
71,87,White
72,54,Black
73,54,Black
74,37,White
75,50,White
76,131,White
77,48,White
78,47,Black
79,64,Black
80,61,White
81,57,White
82,51,White
83,58,Black
84,71,White
85,114,White
86,39,White
87,20,Black
88,48,Black
89,34,Black
90,51,White
91,69,White
92,28,White
93,62,Black
94,62,Black
95,85,White
96,38,White
97,14,White
99,62,White
100,101,White
101,75,White
102,135,White
103,81,White
104,46,Black
105,70,Black
106,39,White
107,91,White
108,137,White
109,46,Black
110,18,Black
111,28,Black
112,40,Black
113,111,White
114,54,Black
115,33,White
116,90,Black
117,90,Black
118,40,Black
119,49,White
120,50,Black
121,59,White
122,26,Black
123,23,White
124,118,Black
125,66,Black
127,36,Black
128,26,Black
129,62,Black
130,37,White
131,24,Black
132,47,White
133,37,Black
134,24,Black
135,9,White
136,47,White
137,85,White
138,39,White
139,58,Black
140,95,White
141,2,Black
142,97,White
144,30,White
145,43,White
146,11,White
147,72,Black
149,18,Black
150,77,White
151,32,Black
152,35,White
153,85,White
154,50,Black
155,111,White
156,65,White
157,73,White
158,125,White
159,76,Black
160,65,White
161,41,White
162,59,White
163,70,Black
164,34,White
165,69,White
166,63,White
167,107,White
168,58,White
169,34,Black
170,100,Black
171,80,Black
172,44,Black
173,40,Black
174,105,White
175,50,Black
177,81,Black
178,69,Black
179,77,White
182,117,White
183,44,White
184,40,Black
185,59,White
186,110,Black
187,30,Black
188,54,Black
189,69,Black
191,136,Black
192,124,Black
193,96,Black
194,53,White
195,39,White
196,10,Black
197,51,White
198,18,Black
199,106,Black
200,38,Black
201,59,White
202,111,White
203,28,Black
204,101,White
205,15,White
206,42,White
207,118,Black
208,34,Black
209,60,Black
210,66,Black
211,21,White
212,73,White
214,74,White
215,28,Black
216,112,Black
217,104,Black
218,40,Black
219,44,Black
221,60,Black
222,37,White
223,88,Black
224,113,White
225,55,White
226,135,White
228,97,White
229,33,Black
230,29,Black
231,55,Black
232,91,White
233,53,White
234,49,White
235,48,Black
236,20,Black
237,87,White
238,11,White
240,24,White
241,23,White
242,81,White
243,34,Black
244,103,White
245,29,Black
246,22,Black
247,38,White
248,46,Black
249,23,White
250,31,White
251,51,White
252,87,White
253,31,White
254,38,Black
255,43,White
256,105,White
257,87,White
258,36,Black
259,38,Black
260,110,Black
261,48,Black
262,95,White
263,70,Black
264,42,White
266,114,Black
267,57,White
268,57,White
270,29,White
271,70,Black
272,97,White
273,99,White
274,74,Black
275,48,Black
276,77,White
277,80,Black
278,35,White
279,33,White
280,87,White
281,40,Black
282,54,Black
283,67,Black
284,21,White
285,14,Black
286,71,White
287,72,Black
288,62,Black
289,48,Black
290,6,Black
292,72,White
