,turns,winner
1,16,Black
7,9,Black
8,66,Black
11,38,Black
12,60,Black
13,31,Black
15,43,Black
16,52,Black
17,66,Black
18,101,Black
20,14,Black
24,13,Black
27,54,Black
28,53,Black
29,66,Black
30,64,Black
31,64,Black
33,21,Black
35,19,Black
37,22,Black
41,71,Black
46,3,Black
50,5,Black
53,36,Black
57,30,Black
58,44,Black
60,37,Black
62,32,Black
64,40,Black
67,78,Black
69,44,Black
70,62,Black
72,54,Black
73,54,Black
78,47,Black
79,64,Black
83,58,Black
87,20,Black
88,48,Black
89,34,Black
93,62,Black
94,62,Black
104,46,Black
105,70,Black
109,46,Black
110,18,Black
111,28,Black
112,40,Black
114,54,Black
116,90,Black
117,90,Black
118,40,Black
120,50,Black
122,26,Black
124,118,Black
125,66,Black
127,36,Black
128,26,Black
129,62,Black
131,24,Black
133,37,Black
134,24,Black
139,58,Black
141,2,Black
147,72,Black
149,18,Black
151,32,Black
154,50,Black
159,76,Black
163,70,Black
169,34,Black
170,100,Black
171,80,Black
172,44,Black
173,40,Black
175,50,Black
177,81,Black
178,69,Black
184,40,Black
186,110,Black
187,30,Black
188,54,Black
189,69,Black
191,136,Black
192,124,Black
193,96,Black
196,10,Black
198,18,Black
199,106,Black
200,38,Black
203,28,Black
207,118,Black
208,34,Black
209,60,Black
210,66,Black
215,28,Black
216,112,Black
217,104,Black
218,40,Black
219,44,Black
221,60,Black
223,88,Black
229,33,Black
230,29,Black
231,55,Black
235,48,Black
236,20,Black
243,34,Black
245,29,Black
246,22,Black
248,46,Black
254,38,Black
258,36,Black
259,38,Black
260,110,Black
261,48,Black
263,70,Black
266,114,Black
271,70,Black
274,74,Black
275,48,Black
277,80,Black
281,40,Black
282,54,Black
283,67,Black
285,14,Black
287,72,Black
288,62,Black
289,48,Black
290,6,Black
293,40,Black
298,70,Black
299,36,Black
304,96,Black
305,116,Black
306,78,Black
308,70,Black
310,102,Black
313,74,Black
316,45,Black
320,20,Black
321,50,Black
322,98,Black
323,106,Black
327,69,Black
328,34,Black
329,40,Black
330,108,Black
335,92,Black
337,56,Black
339,124,Black
341,64,Black
344,96,Black
345,92,Black
346,40,Black
349,120,Black
356,119,Black
359,96,Black
361,64,Black
362,10,Black
364,40,Black
365,58,Black
366,26,Black
367,4,Black
368,118,Black
372,37,Black
374,80,Black
375,78,Black
377,42,Black
378,8,Black
381,60,Black
383,44,Black
384,20,Black
386,40,Black
388,59,Black
390,50,Black
391,34,Black
393,52,Black
396,31,Black
397,130,Black
399,76,Black
402,116,Black
405,76,Black
410,94,Black
415,30,Black
419,14,Black
423,34,Black
428,38,Black
429,70,Black
430,48,Black
431,50,Black
434,62,Black
436,52,Black
437,26,Black
438,59,Black
441,56,Black
442,40,Black
444,60,Black
449,36,Black
450,62,Black
452,34,Black
455,42,Black
457,122,Black
459,42,Black
460,2,Black
462,54,Black
464,42,Black
466,74,Black
467,54,Black
