,turns,winner
0,13,White
2,61,White
3,61,White
4,95,White
6,33,White
9,119,White
10,39,White
14,31,White
19,25,White
21,3,White
22,17,White
23,36,White
25,69,White
26,43,White
32,54,White
34,11,White
36,28,White
38,37,White
39,34,White
42,30,White
43,66,White
44,41,White
45,49,White
47,7,White
48,35,White
49,41,White
51,7,White
52,53,White
54,8,White
55,3,White
56,28,White
59,29,White
61,49,White
63,25,White
65,39,White
66,57,White
68,61,White
71,87,White
74,37,White
75,50,White
76,131,White
77,48,White
80,61,White
81,57,White
82,51,White
84,71,White
85,114,White
86,39,White
90,51,White
91,69,White
92,28,White
95,85,White
96,38,White
97,14,White
99,62,White
100,101,White
101,75,White
102,135,White
103,81,White
106,39,White
107,91,White
108,137,White
113,111,White
115,33,White
119,49,White
121,59,White
123,23,White
130,37,White
132,47,White
135,9,White
136,47,White
137,85,White
138,39,White
140,95,White
142,97,White
144,30,White
145,43,White
146,11,White
150,77,White
152,35,White
153,85,White
155,111,White
156,65,White
157,73,White
158,125,White
160,65,White
161,41,White
162,59,White
164,34,White
165,69,White
166,63,White
167,107,White
168,58,White
174,105,White
179,77,White
182,117,White
183,44,White
185,59,White
194,53,White
195,39,White
197,51,White
201,59,White
202,111,White
204,101,White
205,15,White
206,42,White
211,21,White
212,73,White
214,74,White
222,37,White
224,113,White
225,55,White
226,135,White
228,97,White
232,91,White
233,53,White
234,49,White
237,87,White
238,11,White
240,24,White
241,23,White
242,81,White
244,103,White
247,38,White
249,23,White
250,31,White
251,51,White
252,87,White
253,31,White
255,43,White
256,105,White
257,87,White
262,95,White
264,42,White
267,57,White
268,57,White
270,29,White
272,97,White
273,99,White
276,77,White
278,35,White
279,33,White
280,87,White
284,21,White
286,71,White
292,72,White
294,29,White
295,44,White
296,59,White
297,115,White
300,83,White
302,43,White
303,89,White
307,77,White
309,27,White
311,21,White
312,33,White
314,65,White
315,81,White
317,52,White
318,51,White
324,19,White
325,22,White
331,27,White
332,63,White
333,31,White
334,71,White
336,47,White
338,48,White
340,49,White
342,29,White
343,45,White
347,123,White
348,129,White
351,97,White
352,60,White
353,57,White
354,38,White
355,111,White
357,33,White
358,32,White
363,85,White
369,11,White
371,95,White
373,101,White
379,101,White
380,65,White
385,41,White
387,27,White
389,19,White
392,15,White
394,65,White
395,67,White
398,125,White
400,121,White
401,53,White
403,47,White
404,53,White
407,67,White
408,17,White
409,39,White
411,37,White
412,37,White
413,34,White
414,41,White
416,51,White
417,79,White
418,83,White
420,21,White
421,47,White
422,38,White
424,39,White
425,43,White
426,41,White
427,49,White
432,57,White
435,29,White
443,31,White
445,45,White
447,17,White
448,34,White
453,38,White
454,107,White
456,35,White
458,71,White
461,11,White
463,58,White
468,85,White
470,41,White
471,121,White
474,15,White
478,51,White
480,60,White
483,40,White
484,29,White
491,23,White
493,35,White
494,53,White
496,41,White
498,63,White
501,73,White
503,41,White
504,43,White
506,41,White
510,6,White
511,67,White
513,103,White
517,23,White
518,39,White
520,41,White
521,33,White
523,31,White
524,15,White
526,45,White
527,25,White
528,15,White
530,59,White
531,51,White
533,27,White
535,79,White
536,73,White
541,77,White
543,51,White
544,73,White
547,11,White
548,61,White
549,19,White
550,51,White
553,27,White
555,61,White
556,53,White
558,16,White
560,45,White
561,93,White
562,105,White
565,65,White
571,101,White
575,115,White
579,37,White
580,81,White
581,45,White
585,119,White
593,31,White
594,133,White
595,65,White
601,31,White
604,73,White
605,35,White
606,71,White
607,46,White
611,49,White
612,75,White
613,61,White
614,41,White
616,53,White
620,65,White
621,71,White
625,61,White
626,53,White
629,51,White
630,71,White
631,49,White
635,11,White
640,39,White
641,49,White
642,43,White
644,41,White
648,41,White
651,29,White
652,45,White
653,61,White
654,19,White
656,41,White
658,55,White
663,49,White
665,70,White
666,83,White
667,57,White
671,31,White
673,52,White
678,107,White
680,27,White
682,21,White
683,91,White
684,35,White
687,37,White
689,40,White
692,89,White
694,37,White
695,48,White
697,43,White
700,49,White
702,77,White
704,33,White
705,83,White
707,29,White
708,91,White
711,41,White
713,43,White
716,51,White
719,79,White
727,65,White
728,23,White
734,43,White
736,125,White
738,29,White
740,65,White
743,26,White
745,35,White
746,23,White
749,4,White
751,59,White
752,77,White
754,34,White
758,57,White
762,71,White
765,63,White
767,99,White
771,39,White
773,65,White
778,42,White
780,59,White
783,107,White
786,45,White
788,93,White
790,23,White
793,23,White
794,91,White
796,71,White
799,33,White
801,51,White
806,75,White
807,89,White
809,49,White
810,67,White
811,73,White
812,43,White
816,47,White
818,43,White
820,75,White
821,105,White
822,103,White
824,45,White
828,21,White
831,31,White
833,80,White
834,62,White
836,38,White
837,61,White
839,99,White
842,55,White
844,27,White
849,85,White
853,61,White
856,49,White
865,5,White
870,113,White
871,125,White
872,51,White
874,29,White
876,43,White
880,61,White
882,47,White
884,47,White
886,27,White
889,38,White
