,opening_shortname
Alekhine Defense,0.3489583333333333
Bishop's Opening,0.3591331269349845
Caro-Kann Defense,0.2780569514237856
Center Game,0.45348837209302323
English Opening,0.28055555555555556
Four Knights Game,0.36486486486486486
French Defense,0.3031161473087819
Horwitz Defense,0.33014354066985646
Hungarian Opening,0.40782122905027934
Indian Game,0.2946708463949843
Italian Game,0.3149847094801223
King's Gambit,0.2911392405063291
King's Knight Opening,0.3879781420765027
King's Pawn Game,0.4100327153762268
Modern Defense,0.32
Nimzowitsch Defense,0.32589285714285715
Owen Defense,0.34502923976608185
Philidor Defense,0.3516642547033285
Pirc Defense,0.2708333333333333
Queen's Gambit,0.27960526315789475
Queen's Pawn Game,0.34144363341443634
Russian Game,0.3492063492063492
Ruy Lopez,0.3135198135198135
Scandinavian Defense,0.3268156424581006
Scotch Game,0.25806451612903225
Sicilian Defense,0.27393617021276595
Slav Defense,0.25416666666666665
Van't Kruijs Opening,0.41847826086956524
Zukertort Opening,0.30357142857142855
