,Draw,Resign,Checkmate,Out of Time,Total Games
Sicilian Defense,122.0,1561.0,721.0,228.0,10528.0
Queen's Gambit,33.0,557.0,255.0,67.0,3648.0
Four Knights Game,15.0,192.0,135.0,28.0,1480.0
Italian Game,46.0,552.0,309.0,74.0,3924.0
St. George Defense,4.0,20.0,21.0,3.0,192.0
Bird Opening,15.0,70.0,60.0,12.0,628.0
Semi-Slav Defense,11.0,66.0,23.0,8.0,432.0
French Defense,65.0,807.0,428.0,112.0,5648.0
Indian Game,19.0,177.0,94.0,29.0,1276.0
Zukertort Opening,27.0,184.0,102.0,23.0,1344.0
Queen's Pawn Game,59.0,655.0,421.0,98.0,4932.0
Scandinavian Defense,25.0,394.0,234.0,63.0,2864.0
London System,3.0,13.0,4.0,0.0,80.0
Dutch Defense,6.0,86.0,23.0,10.0,500.0
Modern Defense,9.0,126.0,72.0,18.0,900.0
Carr Defense,1.0,1.0,3.0,0.0,20.0
English Opening,28.0,418.0,202.0,72.0,2880.0
Nimzo-Indian Defense,10.0,86.0,43.0,18.0,628.0
Benoni Defense,7.0,34.0,14.0,10.0,260.0
Ruy Lopez,48.0,490.0,269.0,51.0,3432.0
Caro-Kann Defense,32.0,348.0,166.0,51.0,2388.0
Slav Defense,16.0,142.0,61.0,21.0,960.0
Reti Opening,8.0,35.0,19.0,8.0,280.0
King's Indian Attack,14.0,56.0,14.0,4.0,352.0
Van't Kruijs Opening,16.0,171.0,154.0,27.0,1472.0
Rat Defense,5.0,56.0,27.0,4.0,368.0
Trompowsky Attack,3.0,18.0,8.0,1.0,120.0
Philidor Defense,27.0,361.0,243.0,60.0,2764.0
Anderssen Opening,1.0,11.0,12.0,2.0,104.0
Bishop's Opening,17.0,166.0,116.0,24.0,1292.0
Hungarian Opening,6.0,81.0,73.0,19.0,716.0
Owen Defense,8.0,91.0,59.0,13.0,684.0
King's Gambit,9.0,144.0,69.0,15.0,948.0
King's Pawn Game,33.0,421.0,376.0,87.0,3668.0
Nimzowitsch Defense,7.0,124.0,73.0,20.0,896.0
King's Indian Defense,12.0,123.0,35.0,27.0,788.0
Pirc Defense,17.0,164.0,78.0,29.0,1152.0
Barnes Defense,1.0,6.0,7.0,2.0,64.0
Russian Game,7.0,140.0,88.0,17.0,1008.0
Scotch Game,14.0,301.0,120.0,30.0,1860.0
Alekhine Defense,10.0,99.0,67.0,16.0,768.0
Englund Gambit Complex,1.0,16.0,7.0,1.0,100.0
Three Knights Opening,6.0,62.0,40.0,9.0,468.0
Polish Opening,4.0,48.0,24.0,7.0,332.0
Van Geet Opening,3.0,20.0,31.0,4.0,232.0
Petrov,3.0,3.0,3.0,0.0,36.0
Englund Gambit,3.0,41.0,30.0,13.0,348.0
Horwitz Defense,4.0,110.0,69.0,26.0,836.0
Torre Attack,3.0,15.0,12.0,3.0,132.0
Vienna Game,3.0,65.0,55.0,14.0,548.0
Nimzo-Larsen Attack,8.0,89.0,48.0,19.0,656.0
Bogo-Indian Defense,1.0,5.0,2.0,2.0,40.0
Danish Gambit,2.0,34.0,25.0,9.0,280.0
Grob Opening,2.0,13.0,19.0,3.0,148.0
King's Knight Opening,4.0,94.0,71.0,14.0,732.0
Giuoco Piano,5.0,66.0,29.0,8.0,432.0
Amazon Attack,1.0,3.0,2.0,0.0,24.0
Old Indian Defense,2.0,21.0,12.0,2.0,148.0
Robatsch (Modern) Defense,2.0,27.0,9.0,4.0,168.0
Petrov's Defense,5.0,46.0,27.0,7.0,340.0
Gruenfeld Defense,2.0,41.0,15.0,3.0,244.0
Ponziani Opening,1.0,44.0,16.0,5.0,264.0
Queen's Pawn,4.0,71.0,41.0,13.0,516.0
Gedult's Opening,2.0,12.0,6.0,1.0,84.0
Elephant Gambit,1.0,37.0,29.0,5.0,288.0
Barnes Opening,1.0,0.0,1.0,0.0,8.0
Kadas Opening,2.0,8.0,15.0,4.0,116.0
Ware Opening,1.0,12.0,9.0,2.0,96.0
Richter-Veresov Attack,1.0,8.0,2.0,1.0,48.0
Old Benoni Defense,1.0,27.0,8.0,3.0,156.0
Queen's Indian Defense,4.0,33.0,9.0,4.0,200.0
Mikenas Defense,1.0,16.0,18.0,3.0,152.0
Duras Gambit,1.0,4.0,6.0,1.0,48.0
Neo-Gruenfeld Defense,1.0,5.0,0.0,3.0,36.0
Benko Gambit,2.0,15.0,2.0,1.0,80.0
Mieses Opening,1.0,57.0,40.0,5.0,412.0
East Indian Defense,1.0,11.0,6.0,4.0,88.0
English Defense,1.0,36.0,19.0,12.0,272.0
Blackmar-Diemer Gambit,0.0,37.0,19.0,5.0,244.0
Blumenfeld Countergambit,0.0,11.0,3.0,0.0,56.0
Yusupov-Rubinstein System,0.0,9.0,9.0,2.0,80.0
Center Game,0.0,75.0,78.0,19.0,688.0
Creepy Crawly Formation,0.0,2.0,3.0,0.0,20.0
Latvian Gambit,0.0,16.0,6.0,1.0,92.0
Global Opening,0.0,1.0,0.0,0.0,4.0
Goldsmith Defense,0.0,9.0,8.0,0.0,68.0
Budapest Defense,0.0,14.0,11.0,0.0,100.0
Franco-Benoni Defense,0.0,4.0,3.0,1.0,32.0
System,0.0,2.0,1.0,0.0,12.0
Colle System,0.0,18.0,7.0,1.0,104.0
Nimzowitsch-Larsen Attack,0.0,15.0,6.0,2.0,92.0
Tarrasch Defense,0.0,22.0,3.0,1.0,104.0
King's Pawn Opening,0.0,6.0,6.0,1.0,52.0
Portuguese Opening,0.0,10.0,9.0,3.0,88.0
Irish Gambit,0.0,3.0,0.0,0.0,12.0
Queen's Pawn Opening,0.0,7.0,6.0,1.0,56.0
Clemenz Opening,0.0,5.0,4.0,0.0,36.0
Paleface Attack,0.0,6.0,2.0,2.0,40.0
Gunderam Defense,0.0,5.0,5.0,1.0,44.0
Saragossa Opening,0.0,29.0,16.0,5.0,200.0
Catalan Opening,0.0,4.0,2.0,0.0,24.0
Hippopotamus Defense,0.0,3.0,2.0,1.0,24.0
Amar Opening,0.0,7.0,3.0,4.0,56.0
Borg Defense,0.0,5.0,7.0,1.0,52.0
Slav Indian,0.0,5.0,0.0,1.0,24.0
Crab Opening,0.0,1.0,7.0,0.0,32.0
King's Pawn,0.0,8.0,2.0,8.0,72.0
Sodium Attack,0.0,2.0,2.0,0.0,16.0
Polish Defense,0.0,7.0,7.0,0.0,56.0
Old Indian,0.0,1.0,1.0,2.0,16.0
Lion Defense,0.0,3.0,2.0,0.0,20.0
Queen's Indian Accelerated,0.0,2.0,2.0,0.0,16.0
Mexican Defense,0.0,2.0,4.0,0.0,24.0
Ware Defense,0.0,6.0,6.0,0.0,48.0
Valencia Opening,0.0,1.0,0.0,0.0,4.0
Kangaroo Defense,0.0,2.0,4.0,0.0,24.0
Guatemala Defense,0.0,3.0,2.0,0.0,20.0
Czech Defense,0.0,3.0,0.0,1.0,16.0
King's Indian,0.0,3.0,0.0,0.0,12.0
Scotch Gambit,0.0,4.0,2.0,1.0,28.0
Canard Opening,0.0,3.0,1.0,0.0,16.0
Wade Defense,0.0,1.0,1.0,0.0,8.0
Rubinstein Opening,0.0,2.0,0.0,0.0,8.0
Semi-Bononi,0.0,1.0,2.0,0.0,12.0
Doery Defense,0.0,0.0,1.0,0.0,4.0
Lemming Defense,0.0,0.0,3.0,0.0,12.0
Australian Defense,0.0,0.0,1.0,0.0,4.0
Pterodactyl Defense,0.0,0.0,1.0,0.0,4.0
